Java HotSpot(TM) Client VM (25.101-b13) for windows-x86 JRE (1.8.0_101-b13), built on Jun 22 2016 00:45:44 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8299396k(1884572k free), swap 13394472k(2597324k free)
CommandLine flags: -XX:InitialHeapSize=16777216 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation 
2.126: [GC (Allocation Failure) 2.126: [DefNew: 5632K->567K(6336K), 0.0021589 secs] 14001K->8936K(20288K), 0.0022192 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
2.177: [GC (Allocation Failure) 2.177: [DefNew: 6199K->638K(6336K), 0.0024342 secs] 14568K->9237K(20288K), 0.0025060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.264: [GC (Allocation Failure) 2.264: [DefNew: 6270K->652K(6336K), 0.0026046 secs] 14869K->9447K(20288K), 0.0026847 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.340: [GC (Allocation Failure) 2.340: [DefNew: 6284K->320K(6336K), 0.0021323 secs] 15079K->9237K(20288K), 0.0021967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.424: [GC (Allocation Failure) 2.424: [DefNew: 5952K->597K(6336K), 0.0024756 secs] 14869K->9514K(20288K), 0.0025350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.493: [GC (Allocation Failure) 2.493: [DefNew: 6226K->703K(6336K), 0.0036580 secs] 15143K->10047K(20288K), 0.0038171 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.550: [GC (Allocation Failure) 2.550: [DefNew: 6335K->437K(6336K), 0.0037226 secs] 15679K->10415K(20288K), 0.0038247 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2.829: [GC (Allocation Failure) 2.829: [DefNew: 6069K->703K(6336K), 0.0036097 secs] 16047K->11002K(20288K), 0.0036790 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.910: [GC (Allocation Failure) 2.910: [DefNew: 6335K->472K(6336K), 0.0045195 secs] 16634K->11112K(20288K), 0.0045972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.254: [GC (Allocation Failure) 4.254: [DefNew: 6104K->510K(6336K), 0.0031721 secs] 16744K->11474K(20288K), 0.0032611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.317: [GC (Allocation Failure) 4.318: [DefNew: 6142K->634K(6336K), 0.0042009 secs] 17106K->11954K(20288K), 0.0042937 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.388: [GC (Allocation Failure) 4.388: [DefNew: 6266K->704K(6336K), 0.0029977 secs] 17586K->12331K(20288K), 0.0030667 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.564: [GC (Allocation Failure) 4.564: [DefNew: 6336K->704K(6336K), 0.0043747 secs] 17963K->12889K(20288K), 0.0044430 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
